ADBE,ABNB,ALGN,AMZN,AMGN,AEP,ADI,ANSS,AAPL,AMAT,ASML,TEAM,ADSK,ATVI,ADP,AZN,AVGO,BIDU,BIIB,BMRN,BKNG,CDNS,CHTR,CPRT,CRWD,CTAS,CSCO,CMCSA,COST,CSX,CTSH,DDOG,DOCU,DXCM,DLTR,EA,EBAY,EXC,FAST,META,FISV,FTNT,GILD,GOOG,GOOGL,HON,ILMN,INTC,INTU,ISRG,MRVL,IDXX,JD,KDP,KLAC,KHC,LRCX,LCID,LULU,MELI,MAR,MTCH,MCHP,MDLZ,MRNA,MNST,MSFT,MU,NFLX,NTES,NVDA,NXPI,OKTA,ODFL,ORLY,PCAR,PANW,PAYX,PDD,PYPL,PEP,QCOM,REGN,ROST,SIRI,SGEN,SPLK,SWKS,SBUX,SNPS,TSLA,TXN,TMUS,VRSN,VRSK,VRTX,WBA,WDAY,XEL,ZM,ZS
0,0.747462308,0.089365587,0.740705735,0.820466669,0.810522117,0.776479899,0.580443899,0.871025046,0.806733151,0.005214693,0.536274039,0.210355795,0.793446875,0.817275317,0.775300932,0.793111372,0.760370527,0.520714773,0.771478016,0.085186263,0.864981966,0.169454016,0.71138684,0.574350229,0.767747149,0.793346385,0.762237417,0.990137211,0.794945992,0.819386659,0.853723481,0.333191384,0.30335637,0.867393128,0.75194534,0.757778443,0.80789365,0.787250501,0.396097348,0.759857601,0.573208674,0.762252857,0.09375827,0.145875213,0.685208975,0.522041806,0.789222022,0.755452942,0.710162871,0.806222919,0.14304989,0.755830137,0.792000326,0.492027092,0.788097004,0.300257349,0.785830578,0.205598585,0.721686298,0.805657619,0.663374486,0.790202086,0.783463484,0.039734503,0.751029743,0.879989402,0.815586903,0.38791006,0.795555767,0.912305823,0.763595149,0.650870614,0.872963528,0.91690049,0.783463742,0.982685473,0.83341752,0.643299144,0.701086618,0.803008412,0.84575875,0.914745258,0.706703672,0.779612441,0.693390235,0.745531949,0.75618765,0.715801201,0.931847922,0.541155398,0.783121673,0.763323356,0.816051475,0.744441717,0.856297841,0.785317167,0.792058707,0.793252301,0.759834757,0.684698624
0.747462308,0,0.645834362,0.157084717,0.276762178,0.264159904,0.192533586,0.099188032,0.618767488,0.564135981,0.49566809,0.756797445,0.450077523,0.18277549,0.54209951,0.204690423,0.819188015,0.416507431,0.508341,0.079976556,0.095484283,0.333956763,0.667022771,0.337106553,0.439252032,0.615416199,0.229220633,0.147021506,0.949576303,0.170767464,0.155050549,0.856868082,0.796077114,0.630386291,0.524345782,0.095746002,0.172860275,0.226709853,0.197363545,0.799443342,0.091866237,0.695155504,0.12991078,0.164496133,0.2427254,0.252034058,0.573655495,0.104555083,0.682466109,0.729748279,0.496805766,0.622409494,0.003835229,0.179913045,0.459351847,0.183812659,0.207259849,0.05294826,0.598328724,0.760262091,0.338868019,0.22455912,0.095922306,0.211294028,0.532849992,0.126217973,0.623333358,0.136278734,0.751458904,0.057124112,0.802398175,0.409363384,0.234544308,0.71406571,0.792407167,0.090148555,0.931978488,0.499979316,0.198813671,0.938998417,0.399367623,0.33175966,0.690609678,0.116475284,0.13030401,0.025744814,0.036602573,0.392434038,0.161097738,0.698690857,0.453880624,0.176839967,0.282833001,0.402062192,0.132512447,0.276775725,0.153690382,0.021543587,0.19802125,0.955711282,0.679408248
0.089365587,0.645834362,0,0.555272946,0.738559527,0.71976465,0.673240895,0.488709866,0.81025262,0.74231744,0.100017782,0.705860678,0.253201913,0.687144935,0.751960866,0.678732971,0.9635953,0.609306268,0.219384309,0.672769518,0.225714503,0.763025271,0.003234355,0.57239844,0.244111453,0.712931474,0.699012166,0.642092222,0.975166005,0.701285939,0.740825465,0.797323855,0.033909263,0.742799428,0.833748354,0.616868008,0.62141696,0.72344092,0.683061264,0.006090316,0.634009414,0.909793122,0.644131533,0.123185376,0.146114613,0.515078008,0.15265177,0.681284168,0.683025662,0.68484122,0.744407882,0.110970641,0.641004766,0.695075238,0.771563408,0.686488211,0.260874434,0.701779501,0.166815951,0.614412915,0.779510511,0.461506995,0.694110588,0.687545456,0.006117391,0.621604777,0.797284578,0.741597111,0.078896998,0.680884378,0.870885542,0.695948608,0.302285962,0.888898113,0.935957529,0.691749774,0.977625791,0.768808513,0.448261558,0.196560583,0.729186021,0.771798991,0.846492802,0.548530264,0.672500476,0.534224544,0.470644025,0.583742823,0.565065986,0.861363172,0.638567748,0.657682349,0.65289175,0.690967945,0.613112871,0.72330945,0.685088286,0.649972519,0.691644132,0.479884642,0.613469468
0.740705735,0.157084717,0.555272946,0,0.546125288,0.663274971,0.01908593,0.214896017,0.960348182,0.017165884,0.268672245,0.643420562,0.532858781,0.561146914,0.645651799,0.210915981,0.78388863,0.58592618,0.415092684,0.203856753,0.09227034,0.639277637,0.67043932,0.286786291,0.368827929,0.581094776,0.359030842,0.110363675,0.971201563,0.457670801,0.794821287,0.748020498,0.857202154,0.575367597,0.93256423,0.03213013,0.010812261,0.681513764,0.262525544,0.910520745,0.249181149,0.633070032,0.060273081,0.171688648,0.203727629,0.113363227,0.473131467,0.342583179,0.589224014,0.619058762,0.725128977,0.515907313,0.255185024,0.429745107,0.220586574,0.366349598,0.053942051,0.13652554,0.659635143,0.769342387,0.492852505,0.255168636,0.172113375,0.372632503,0.501632592,0.062814942,0.550269516,0.503507108,0.874246991,0.467277563,0.715857486,0.008730341,0.445017147,0.550048507,0.72023053,0.326286993,0.860157492,0.844881391,0.50764458,0.985438562,0.762017402,0.788562558,0.659436974,0.06997953,0.295617302,0.032174061,0.264401719,0.197271133,0.001743155,0.663719145,0.458507964,0.001068158,0.391952305,0.684754975,0.438012787,0.797515391,0.240229135,0.11616429,0.415615653,0.914350537,0.648485466
0.820466669,0.276762178,0.738559527,0.546125288,0,0.459150065,0.58293785,0.486164559,0.740205784,0.277974485,0.423074995,0.743470939,0.809897937,0.024698263,0.720663172,0.529848084,0.686836333,0.512778763,0.619820423,0.450292688,0.105480753,0.671802218,0.839268448,0.773318839,0.622399008,0.715023931,0.5342876,0.43350087,0.885801777,0.457257173,0.542397987,0.710267682,0.911601933,0.677283169,0.716419578,0.200446127,0.574181905,0.537193272,0.547996313,0.946888774,0.218942793,0.56189188,0.532151009,0.203179545,0.234864219,0.702116664,0.621072205,0.258896737,0.598837482,0.720815367,0.673837722,0.652849778,0.400194436,0.426896108,0.411722103,0.338990853,0.143978954,0.433822697,0.788277799,0.782068261,0.418823484,0.731815766,0.521885348,0.465116642,0.57093258,0.44282905,0.650774044,0.242334522,0.895638192,0.157942952,0.623768519,0.317243935,0.547211648,0.588621961,0.664352031,0.296203534,0.767253312,0.720893839,0.634878554,0.987498857,0.739155648,0.585770468,0.681245328,0.498574328,0.389713402,0.436786219,0.385783601,0.40426528,0.679456555,0.620688376,0.486990499,0.551947783,0.206042293,0.628742482,0.712183535,0.277246766,0.326829574,0.450105809,0.372512895,0.943205393,0.599510377
0.810522117,0.264159904,0.71976465,0.663274971,0.459150065,0,0.249939828,0.366589186,0.570368616,0.033780245,0.345064295,0.700785695,0.887323323,0.673085363,0.540467631,0.372835628,0.556475335,0.672707719,0.694352961,0.347120807,0.092634791,0.467032666,0.847714957,0.865647983,0.635565812,0.601853341,0.275381465,0.98188307,0.904813215,0.33242505,0.206015112,0.595614864,0.939156951,0.616319623,0.680172228,0.321334994,0.718911199,0.336590449,0.683591984,0.956096884,0.882959294,0.483072746,0.95535398,0.179794318,0.208944111,0.981677812,0.684685345,0.897340482,0.640249765,0.621397022,0.513769817,0.611767534,0.613446291,0.33690856,0.213676845,0.567943386,0.105273549,0.209220682,0.782108738,0.78554225,0.176470508,0.929342148,0.367565147,0.096780823,0.588686329,0.991156011,0.466810584,0.235785668,0.916610808,0.461409513,0.566716412,0.039209067,0.706437577,0.392905796,0.55695864,0.601125913,0.704642723,0.556365121,0.823953321,0.995775287,0.760805929,0.417114904,0.550834899,0.991354695,0.628395669,0.467135085,0.455907413,0.843952374,0.994830561,0.522071622,0.433201062,0.328442686,0.654565526,0.474220969,0.642707032,0.377122067,0.585453527,0.22222592,0.680275328,0.951089304,0.580622758
0.776479899,0.192533586,0.673240895,0.01908593,0.58293785,0.249939828,0,0.01699683,0.811732264,0.018342555,0.326133953,0.664474775,0.701528417,0.490186993,0.501780874,0.068534598,0.786028771,0.629317186,0.557220802,0.039869864,0.086431387,0.475991853,0.728420356,0.086763962,0.430837486,0.486698178,0.063868987,0.121661687,0.970835633,0.116688106,0.333465819,0.605213636,0.867287543,0.600283612,0.795906642,0.097069189,0.005073425,0.149036667,0.019487755,0.910721351,0.302527546,0.436173139,0.036290845,0.133387369,0.210535366,0.305662933,0.573164099,0.407325595,0.52381085,0.592420033,0.432737313,0.581416513,0.15055412,0.132903371,0.250702439,0.206248941,0.107505617,0.016095558,0.685077965,0.775321819,0.272120311,0.575434937,0.260923506,0.086342385,0.515147974,0.099073349,0.549455202,0.603527041,0.868364208,0.389586954,0.56009041,0.040744963,0.464334656,0.581364346,0.728814556,0.300265954,0.823822812,0.507393644,0.545437238,0.981944855,0.254252149,0.609253053,0.633202029,0.516003591,0.092320545,0.030712236,0.161639371,0.753201941,0.167495933,0.527858076,0.442743581,0.271848739,0.33947876,0.17365261,0.029282921,0.568495283,0.275213103,0.043821096,0.155842717,0.920601471,0.569927482
0.580443899,0.099188032,0.488709866,0.214896017,0.486164559,0.366589186,0.01699683,0,0.610490907,0.178177365,0.195407689,0.576989557,0.175024243,0.475039048,0.338193215,0.263624119,0.9219642,0.576951536,0.333888882,0.229988717,0.090635506,0.350545422,0.605097728,0.270889298,0.285547077,0.153631463,0.266743084,0.257462031,0.983754699,0.285951893,0.427576904,0.659678856,0.770230744,0.529146083,0.584761113,0.24523862,0.252468648,0.329191537,0.231039008,0.583880391,0.300049866,0.60007592,0.170619032,0.112429744,0.181265405,0.071615249,0.49432528,0.304124572,0.45454235,0.608505769,0.455381251,0.508607586,0.032120497,0.297910424,0.183916604,0.310523167,0.021225751,0.208451227,0.51850919,0.784997226,0.022490496,0.244296231,0.03857253,0.29450852,0.442152387,0.209601461,0.447205338,0.069814603,0.759881723,0.324343911,0.551908968,0.128877002,0.265796125,0.527501239,0.735686898,0.277448554,0.909536482,0.433854574,0.556430706,0.933625997,0.37593136,0.099270792,0.631092772,0.047531863,0.256859786,0.068701314,0.305001389,0.293188209,0.018764506,0.856452568,0.43333734,0.23013979,0.112539042,0.378218859,0.216139532,0.679072627,0.253136421,0.08619811,0.310725821,0.926574962,0.663851559
0.871025046,0.618767488,0.81025262,0.960348182,0.740205784,0.570368616,0.811732264,0.610490907,0,0.164230709,0.362563362,0.709709608,0.949128687,0.776362012,0.351992891,0.64193457,0.49157929,0.781585967,0.786383478,0.637049172,0.098686627,0.348412801,0.867930795,0.923373952,0.784767885,0.523671444,0.584109816,0.817974664,0.919528882,0.65232198,0.486623573,0.376623227,0.948009767,0.617279847,0.363756205,0.769765117,0.81122159,0.527916918,0.647624837,0.980256267,0.854660482,0.364006408,0.776923935,0.165293209,0.193504813,0.956755093,0.824220381,0.78435191,0.586590618,0.651742552,0.291378179,0.67145723,0.800869113,0.667524267,0.071599743,0.664972395,0.152613115,0.362652484,0.830369595,0.806701093,0.354770232,0.955877312,0.823611157,0.633475082,0.627271761,0.884966745,0.28009873,0.778407888,0.95237174,0.816003869,0.457026054,0.319854225,0.853433893,0.273091213,0.485703706,0.679990067,0.662623999,0.249020184,0.854532714,0.996936159,0.063896271,0.126605074,0.457645919,0.931575373,0.688882412,0.605692972,0.571226281,0.948942093,0.959359285,0.380290289,0.403043065,0.840737734,0.772233865,0.459121731,0.214826576,0.312811335,0.772853296,0.466742858,0.642087591,0.977997408,0.67397534
0.806733151,0.564135981,0.74231744,0.017165884,0.277974485,0.033780245,0.018342555,0.178177365,0.164230709,0,0.45363865,0.716595557,0.596209085,0.279003084,0.064194653,0.019133729,0.816378875,0.5747744,0.597186597,0.007245511,0.083930885,0.10050859,0.729308002,0.017504555,0.499233167,0.46475779,0.006635769,0.043391836,0.97155483,0.023210029,0.029523484,0.522272839,0.892000436,0.655671306,0.234677679,0.088434393,0.02951888,0.01447191,0.006161015,0.928326606,0.089509691,0.633992349,0.024812494,0.151766405,0.234928797,0.169217047,0.70648792,0.112447976,0.621448515,0.549213586,0.02206592,0.645049749,0.094705211,0.025562473,0.413341135,0.042884626,0.151048449,0.023118057,0.677284504,0.7815109,0.098796135,0.356076936,0.021731808,0.007379321,0.56095388,0.022525522,0.536650832,0.110695628,0.907699328,0.206162096,0.657459097,0.009715595,0.656252724,0.69180181,0.787285005,0.102473341,0.835790435,0.015181382,0.326682232,0.985452658,0.001417068,0.093721022,0.661762825,0.139891008,0.024531803,0.038549288,0.08358032,0.652574659,0.054836624,0.616324449,0.459232138,0.097565879,0.114228102,2.23E-05,0.003185789,0.117824608,0.073192589,0.117393297,0.022747236,0.944155741,0.675507306
